Name,Age,R,H,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,Pos Summary
Wil Myers,24,40,57,13,1,8,29,5,27,55,.253,.336,7
Jimmy Nelson,26,1,6,1,0,0,2,0,1,34,.109,.125,1
Justin Nicolino*,23,0,1,0,0,0,0,0,0,8,.040,.040,1
Jon Niese*,28,5,9,1,0,0,4,0,5,18,.173,.246,1
Kirk Nieuwenhuis*,27,17,22,9,0,4,13,2,8,40,.208,.282,7
Aaron Nola,22,0,2,0,0,0,1,0,1,16,.087,.125,1
Derek Norris,26,65,129,33,2,14,62,4,35,131,.250,.305,3
Sean O'Sullivan,27,2,2,1,0,0,0,0,1,10,.100,.143,1
Chris Owings,23,59,117,27,5,4,43,16,26,144,.227,.264,6
Marcell Ozuna,24,47,119,27,0,10,44,2,30,110,.259,.308,7
Angel Pagan#,33,55,134,21,3,3,37,12,32,93,.262,.303,7
Joe Panik*,24,59,119,27,2,8,37,3,38,42,.312,.378,4
Kyle Parker,25,10,19,3,1,3,11,1,6,37,.179,.223,7
Gerardo Parra*,28,53,106,24,5,9,31,9,20,57,.328,.369,7
Ben Paulsen*,27,42,90,19,4,11,49,1,23,92,.277,.326,7
Jake Peavy,34,5,7,2,0,1,3,0,1,17,.194,.216,1
Joc Pederson*,23,67,101,19,1,26,54,4,92,170,.210,.346,7
Brayan Pena#,33,17,91,17,0,0,18,2,29,34,.273,.334,3
Hunter Pence,32,30,57,13,1,9,40,4,16,48,.275,.327,7
Cliff Pennington#,31,15,32,3,0,1,10,3,16,29,.237,.314,7
David Peralta*,27,61,144,26,10,17,78,9,44,107,.312,.371,7
Jhonny Peralta,33,64,159,26,1,17,71,1,50,111,.275,.334,6
Wily Peralta,26,1,1,0,0,0,1,0,3,15,.033,.121,1
Eury Perez,25,10,32,4,0,0,5,3,7,23,.269,.331,7
Hernan Perez,24,13,62,15,2,1,21,4,4,48,.270,.281,6
Williams Perez,24,2,2,0,0,0,0,0,2,13,.071,.133,1
Jace Peterson*,25,55,126,23,5,6,52,12,56,120,.239,.314,4
Shane Peterson*,27,22,52,7,3,2,16,0,20,55,.259,.324,7
Tommy Pham,27,28,41,7,5,5,18,2,19,41,.268,.347,7
David Phelps,28,0,4,0,0,0,0,0,0,16,.118,.143,1
Brandon Phillips,34,69,173,19,2,12,70,23,27,68,.294,.328,6
A.J. Pierzynski*,38,38,122,24,1,9,49,0,19,37,.300,.339,2
Stephen Piscotty,24,29,71,15,4,7,39,2,20,56,.305,.359,7
Kevin Plawecki,24,18,51,9,0,3,21,0,17,60,.219,.280,2
Gregory Polanco*,23,83,152,35,6,9,52,27,55,121,.256,.320,7
A.J. Pollock,27,111,192,39,6,20,76,39,53,89,.315,.367,7
Buster Posey,28,74,177,28,0,19,95,2,56,52,.318,.379,3
Martin Prado,31,52,144,22,2,9,63,1,37,68,.288,.338,5
Yasiel Puig,24,30,72,12,3,11,38,3,26,66,.255,.322,7
Aramis Ramirez,37,43,117,31,1,17,75,1,31,68,.246,.297,5
Aramis Ramirez,37,25,69,18,0,11,42,1,16,42,.247,.295,5
Aramis Ramirez,37,18,48,13,1,6,33,0,15,26,.245,.299,5
Wilson Ramos,27,41,109,16,0,15,68,0,21,101,.229,.258,2
Robbie Ray*,23,0,3,1,0,0,0,0,0,14,.097,.097,1
J.T. Realmuto,24,49,114,21,7,10,47,8,19,70,.259,.290,2
Anthony Rendon,25,43,82,16,0,5,25,1,36,70,.264,.344,5
Ben Revere*,27,49,109,13,6,1,26,24,19,36,.298,.334,7
Jose Reyes#,32,21,50,8,2,3,19,8,9,24,.259,.291,6
Mark Reynolds,31,35,88,21,2,13,48,2,44,121,.230,.315,7
Anthony Rizzo*,25,94,163,38,3,31,101,17,78,105,.278,.387,3
